Category: All categories

Month,depression: (United States)
2004-01,82
2004-02,95
2004-03,100
2004-04,96
2004-05,87
2004-06,61
2004-07,60
2004-08,62
2004-09,76
2004-10,83
2004-11,88
2004-12,80
2005-01,79
2005-02,89
2005-03,90
2005-04,96
2005-05,88
2005-06,60
2005-07,60
2005-08,54
2005-09,68
2005-10,82
2005-11,86
2005-12,71
2006-01,80
2006-02,82
2006-03,87
2006-04,80
2006-05,78
2006-06,54
2006-07,52
2006-08,50
2006-09,61
2006-10,67
2006-11,70
2006-12,62
2007-01,64
2007-02,69
2007-03,73
2007-04,72
2007-05,66
2007-06,51
2007-07,48
2007-08,44
2007-09,56
2007-10,65
2007-11,64
2007-12,55
2008-01,63
2008-02,66
2008-03,65
2008-04,69
2008-05,62
2008-06,49
2008-07,47
2008-08,43
2008-09,70
2008-10,85
2008-11,75
2008-12,68
2009-01,66
2009-02,80
2009-03,79
2009-04,70
2009-05,62
2009-06,49
2009-07,48
2009-08,46
2009-09,53
2009-10,58
2009-11,65
2009-12,58
2010-01,59
2010-02,64
2010-03,65
2010-04,66
2010-05,58
2010-06,47
2010-07,43
2010-08,43
2010-09,50
2010-10,54
2010-11,58
2010-12,49
2011-01,60
2011-02,64
2011-03,67
2011-04,65
2011-05,59
2011-06,51
2011-07,48
2011-08,49
2011-09,55
2011-10,57
2011-11,60
2011-12,55
2012-01,59
2012-02,63
2012-03,63
2012-04,64
2012-05,58
2012-06,49
2012-07,46
2012-08,45
2012-09,53
2012-10,57
2012-11,58
2012-12,53
2013-01,57
2013-02,62
2013-03,63
2013-04,65
2013-05,59
2013-06,47
2013-07,46
2013-08,44
2013-09,52
2013-10,59
2013-11,60
2013-12,53
2014-01,58
2014-02,63
2014-03,66
2014-04,65
2014-05,60
2014-06,48
2014-07,46
2014-08,63
2014-09,59
2014-10,62
2014-11,64
2014-12,59
2015-01,62
2015-02,66
2015-03,69
2015-04,69
2015-05,65
2015-06,54
2015-07,53
2015-08,54
2015-09,63
2015-10,70
2015-11,69
2015-12,66
2016-01,65
2016-02,73
2016-03,74
2016-04,76
2016-05,68
2016-06,53
2016-07,50
2016-08,54
2016-09,61
2016-10,67
2016-11,70
2016-12,65
2017-01,71
2017-02,72
2017-03,77
2017-04,74
2017-05,72
2017-06,56
2017-07,56
2017-08,61
2017-09,62
2017-10,72
2017-11,73
2017-12,67
2018-01,70
2018-02,77
2018-03,76
2018-04,79
2018-05,72
2018-06,67
2018-07,59
2018-08,58
2018-09,68
2018-10,76
2018-11,76
2018-12,72
2019-01,73
2019-02,83
2019-03,82
2019-04,76
2019-05,71
2019-06,59
2019-07,57
2019-08,57
2019-09,65
2019-10,72
2019-11,70
2019-12,65
2020-01,67
2020-02,76
2020-03,78
2020-04,80
